Question,Option A,Option B,Option C,Option D,Correct Answer
Directly between the Washington Monument and the Reflecting Pool is a memorial to which war?,American Civil War,American Revolutionary War,Vietnam War,World War II,World War II
Which river flows through the Scottish city of Glasgow?,Tay,Dee,Tweed,Clyde,Clyde
When was Hubba Bubba first introduced?,1972,1979,1984,1980,1979
Which type of cutlery is most suited for eating soup?,Knife,Fork,Chopsticks,Spoon,Spoon
Foie gras is a French delicacy typically made from what part of a duck or goose?,Stomach,Liver,Intestines,Heart,Liver
"The word ""dozen"" usually refers to a group of how many objects?",12,20,10,6,12
Which film star has his statue in Leicester Square?,Charlie Chaplin,Alfred Hitchcock,Rowan Atkinson ,Paul Newman,Charlie Chaplin
Who invented Pastafarianism?,Bill Nye,Eric Tignor,Bobby Henderson,Zach Soldi,Bobby Henderson
What year was the first Apple iPod introduced?,1998,1999,2001,2000,2001
Who founded the Khan Academy?,Ben Khan,Sal Khan,Adel Khan,Kitt Khan,Sal Khan
What is the unit of currency in Laos?,Dollar,Konra,Kip,Ruble,Kip
How many calories are in a 355 ml can of Pepsi Cola?,100,200,155,150,150
The Quran is the holy book of which Abrahamic religion?,Rastafarianism,Islam,Christianity,Judaism,Islam
"What is the Italian word for ""tomato""?",Pomodoro,Aglio,Cipolla,Peperoncino,Pomodoro
Where does water from Poland Spring water bottles come from?,"Maine, United States","Masovia, Poland","Bavaria, Poland","Hesse, Germany","Maine, United States"
What was the third country to have a McDonald's restaurant?,Australia,France,Costa Rica,Japan,Costa Rica
Which of these fast-food chains is NOT mainly known to sell pizza?,Papa John's,Little Caesars,Wendy's,Domino's,Wendy's
What kind of aircraft was developed by Igor Sikorsky in the United States in 1942?,Helicopter,Space Capsule,Jet,Stealth Blimp,Helicopter
Which of these Nicktoons were NOT originally a short on Oh Yeah! Cartoons before becoming their own series?,The Fairly OddParents,Danny Phantom,My Life as a Teenage Robot,ChalkZone,Danny Phantom
Which sign of the zodiac comes between Virgo and Scorpio?,Capricorn,Libra,Taurus,Gemini,Libra
In what year was McDonald's founded?,1951,1947,1955,1964,1955
"Which of these words means ""idle spectator""?",Jentacular,Gongoozler,Gossypiboma,Meupareunia,Gongoozler
What is real haggis made of?,"Sheep's Heart, Kidneys and Lungs",Whole Sheep,"Sheep's Heart, Liver and Lungs","Sheep's Liver, Kidneys and Eyes","Sheep's Heart, Liver and Lungs"
"What is the profession of Elon Musk's mom, Maye Musk?",Model,Musician,Professor,Biologist,Model
Who is a co-founder of music streaming service Spotify?,Michael Breidenbruecker,Felix Miller,Sean Parker,Daniel Ek,Daniel Ek
What is the currency of India and Pakistan as well as a few other Asian countries?,Dinar,Riyal,Peso,Rupee,Rupee
What word represents the letter 'T' in the NATO phonetic alphabet?,Tango,Turkey,Taxi,Target,Tango
"What is the French word for ""hat""?",Bonnet, Écharpe,Chapeau, Casque,Chapeau
What is Tasmania?,A Psychological Disorder,A flavor of Ben and Jerry's ice-cream,An Australian State,The Name of a Warner Brothers Cartoon Character,An Australian State
"What is a ""dakimakura""?",A word used to describe two people who truly love each other,A body pillow,A yoga posture,"A Chinese meal, essentially composed of fish",A body pillow
Who is depicted on the US hundred dollar bill?,Thomas Jefferson,Benjamin Franklin,George Washington,Abraham Lincoln,Benjamin Franklin
What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,Demolition,The British Bulldogs,The Bushwhackers,The Dream Team,Demolition
Virtual reality company Oculus VR lost which of it's co-founders in a freak car accident in 2013?,Palmer Luckey,Andrew Scott Reisse,Nate Mitchell,Jack McCauley,Andrew Scott Reisse
In which cardinal direction does the Sun rise from?,South,East,North,West,East
"The file hosting service, ""Google Drive"" was launched on what day?","April 24, 2012","January 20, 2010","January 12, 2014","November 14, 2008","April 24, 2012"
This field is sometimes known as “The Dismal Science.”,Physics,Economics,Philosophy,Politics,Economics
Which restaurant's mascot is a clown?,Burger King,Sonic,McDonald's,Whataburger,McDonald's
What is the currency of Poland?,Krone,Euro,Złoty,Ruble,Złoty
The architect known as Le Corbusier was an important figure in what style of architecture?,Modernism,Neoclassical,Baroque,Gothic Revival,Modernism
"In ""Battle Cats"", what is Moneko / MISS Moneko's critical percentage rate?",15%,10%,20%,25%,15%
What is the name of NASA’s most famous space telescope?,Hubble Space Telescope,Big Eye,Millenium Falcon,Death Star,Hubble Space Telescope
What is on display in the Madame Tussaud's museum in London?,Wax sculptures,Designer clothing,Vintage cars,Unreleased film reels,Wax sculptures
"When one is ""envious"", they are said to be what color?",Yellow,Green,Red,Blue,Green
Five dollars is worth how many nickels?,50,69,100,25,100
"What did the Spanish autonomous community of Catalonia ban in 2010, that took effect in 2012?",Bullfighting,Mariachi,Flamenco,Fiestas,Bullfighting
"The word ""astasia"" means which of the following?",The inability to stand up,The inability to make decisions,A feverish desire to rip one's clothes off,The inability to concentrate on anything,The inability to stand up
"Located in Chile, El Teniente is the world's largest underground mine for what metal?",Silver,Copper,Nickel,Iron,Copper
"What was the nickname given to the Hughes H-4 Hercules, a heavy transport flying boat which achieved flight in 1947?",Trojan Horse,Noah's Ark,Spruce Goose,Fat Man,Spruce Goose
What character was once considered to be the 27th letter of the alphabet?,Tilde,Interrobang,Pilcrow,Ampersand,Ampersand
Which of these companies does NOT manufacture automobiles?,Nissan,Ducati,GMC,Fiat,Ducati
